TIMESTAMP,FORECAST
20131101 1:00,0.35836276
20131101 2:00,0.36486787
20131101 3:00,0.36568332
20131101 4:00,0.35899666
20131101 5:00,0.37509158
20131101 6:00,0.37827036
20131101 7:00,0.33382875
20131101 8:00,0.17574224
20131101 9:00,0.09179297
20131101 10:00,0.023568198
20131101 11:00,0.018347621
20131101 12:00,0.025705338
20131101 13:00,0.030930206
20131101 14:00,0.022157878
20131101 15:00,0.016926676
20131101 16:00,0.027034
20131101 17:00,0.03407471
20131101 18:00,0.043575406
20131101 19:00,0.03180456
20131101 20:00,0.017007917
20131101 21:00,0.018844903
20131101 22:00,0.03602895
20131101 23:00,0.071255
20131102 0:00,0.13800743
20131102 1:00,0.44048685
20131102 2:00,0.49912795
20131102 3:00,0.5777116
20131102 4:00,0.6668912
20131102 5:00,0.7024427
20131102 6:00,0.64445686
20131102 7:00,0.5729406
20131102 8:00,0.54113346
20131102 9:00,0.54462063
20131102 10:00,0.48360902
20131102 11:00,0.42459872
20131102 12:00,0.33089447
20131102 13:00,0.48976102
20131102 14:00,0.6076709
20131102 15:00,0.31711113
20131102 16:00,0.3793026
20131102 17:00,0.50268257
20131102 18:00,0.56670886
20131102 19:00,0.49422798
20131102 20:00,0.40684736
20131102 21:00,0.45498782
20131102 22:00,0.54883134
20131102 23:00,0.53902125
20131103 0:00,0.5264738
20131103 1:00,0.45914093
20131103 2:00,0.470738
20131103 3:00,0.6286352
20131103 4:00,0.67152834
20131103 5:00,0.64300364
20131103 6:00,0.6415533
20131103 7:00,0.63763714
20131103 8:00,0.6323382
20131103 9:00,0.5578028
20131103 10:00,0.4748723
20131103 11:00,0.39917895
20131103 12:00,0.56465495
20131103 13:00,0.58214116
20131103 14:00,0.62733907
20131103 15:00,0.696502
20131103 16:00,0.73922276
20131103 17:00,0.76354533
20131103 18:00,0.78073734
20131103 19:00,0.7917763
20131103 20:00,0.8039131
20131103 21:00,0.82322526
20131103 22:00,0.8492244
20131103 23:00,0.82522804
20131104 0:00,0.76507807
20131104 1:00,0.7218883
20131104 2:00,0.61662054
20131104 3:00,0.53412986
20131104 4:00,0.44376832
20131104 5:00,0.4002452
20131104 6:00,0.39062798
20131104 7:00,0.3927474
20131104 8:00,0.4091924
